suite_id,kind,passed,returncode,report_path
no_llm_baseline_all,no_llm_baseline,True,0,data\eval_runs\local_smoke_160_latest\no_llm_baseline_all.json
lean_statements_all,lean_candidate,True,0,data\eval_runs\local_smoke_160_latest\lean_statements_all.json
proof_kdv_smoke,lean_candidate,True,0,data\eval_runs\local_smoke_160_latest\proof_kdv_smoke.json
proof_heat_smoke,lean_candidate,True,0,data\eval_runs\local_smoke_160_latest\proof_heat_smoke.json
proof_burgers_smoke,lean_candidate,True,0,data\eval_runs\local_smoke_160_latest\proof_burgers_smoke.json
proof_ode_runge_kutta_smoke,lean_candidate,True,0,data\eval_runs\local_smoke_160_latest\proof_ode_runge_kutta_smoke.json
proof_linear_algebra_stability_smoke,lean_candidate,True,0,data\eval_runs\local_smoke_160_latest\proof_linear_algebra_stability_smoke.json
proof_spectral_dft_smoke,lean_candidate,True,0,data\eval_runs\local_smoke_160_latest\proof_spectral_dft_smoke.json
proof_fem_projection_smoke,lean_candidate,True,0,data\eval_runs\local_smoke_160_latest\proof_fem_projection_smoke.json
proof_general_n_seed_smoke,lean_candidate,True,0,data\eval_runs\local_smoke_160_latest\proof_general_n_seed_smoke.json
proof_general_n_expansion_131_smoke,lean_candidate,True,0,data\eval_runs\local_smoke_160_latest\proof_general_n_expansion_131_smoke.json
proof_fem_general_n_expansion_138_smoke,lean_candidate,True,0,data\eval_runs\local_smoke_160_latest\proof_fem_general_n_expansion_138_smoke.json
proof_spectral_linearity_expansion_146_smoke,lean_candidate,True,0,data\eval_runs\local_smoke_160_latest\proof_spectral_linearity_expansion_146_smoke.json
proof_interp_quad_expansion_160_smoke,lean_candidate,True,0,data\eval_runs\local_smoke_160_latest\proof_interp_quad_expansion_160_smoke.json
